"Comunidad","Provincia","Población","Latitud","Longitud","Habitantes","Hombres","Mujeres","Altitud","Annual_Mean_Temperature","Mean_Diurnal_Range","Isothermality","Temperature_Seasonality","Max_Temperature_of_Warmest_Month","Min_Temperature_of_Coldest_Month","Temperature_Annual_Range","Mean_Temperature_of_Wettest_Quarter","Mean_Temperature_of_Driest_Quarter","Mean_Temperature_of_Warmest_Quarter","Mean_Temperature_of_Coldest_Quarter","Annual_Precipitation","Precipitation_of_Wettest_Month","Precipitation_of_Driest_Month","Precipitation_Seasonality","Precipitation_of_Wettest_Quarter","Precipitation_of_Driest_Quarter","Precipitation_of_Warmest_Quarter","Precipitation_of_Coldest_Quarter"
"Andalucía","Almería","Abla",37.14114,-2.780104,1504,783,721,871.1684,203,116,70,1491,293,129,164,210,184,219,181,694,155,6,78,321,22,199,28
"Andalucía","Almería","Abrucena",37.13305,-2.797098,1341,682,659,976.9387,203,116,70,1491,293,129,164,210,184,219,181,694,155,6,78,321,22,199,28
"Andalucía","Almería","Adra",36.74807,-3.022522,24373,12338,12035,10.97898,195,113,69,1418,284,122,162,202,177,210,174,733,189,4,86,378,17,225,21
"Andalucía","Almería","Albánchez",3.72871,-2.181163,815,422,393,481.3123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andalucía","Almería","Alboloduy",37.03319,-2.62175,674,334,340,388.4346,214,119,71,1401,304,138,166,221,195,228,192,623,144,3,81,297,14,187,19
"Andalucía","Almería","Albox",37.38979,-2.147483,11178,5731,5447,426.4268,210,124,73,1322,298,130,168,214,193,224,189,719,170,2,87,315,12,283,17
"Andalucía","Almería","Alcolea",36.97449,-2.961038,908,486,422,744.6956,203,116,70,1509,295,131,164,210,184,220,181,636,148,6,77,307,21,181,26
"Andalucía","Almería","Alcóntar",37.33585,-2.596944,603,315,288,955.1331,211,119,71,1425,301,135,166,219,192,226,189,717,151,4,81,308,19,200,25
"Andalucía","Almería","Alcudia de Monteagud",37.23598,-2.266174,141,74,67,1018.354,212,122,73,1345,301,134,167,226,195,226,191,611,122,1,81,255,9,255,14
"Andalucía","Almería","Alhabia",3.69893,-2.587667,724,363,361,288.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andalucía","Almería","Alhama de Almería",36.95742,-2.570075,3779,1906,1873,523.1963,213,119,71,1395,303,136,167,220,195,228,192,599,136,2,81,283,11,190,14
"Andalucía","Almería","Alicún",3.69663,-2.601994,254,130,124,420.4872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andalucía","Almería","Almería",36.84016,-2.467922,188810,92396,96414,27.00703,211,119,72,1351,299,134,165,218,193,225,190,594,136,1,82,283,8,196,11
"Andalucía","Almería","Almócita",37.00236,-2.790071,167,83,84,831.1343,208,117,70,1464,300,134,166,215,189,224,187,654,154,5,79,317,19,189,25
"Andalucía","Almería","Alsodux",0.37002,-2.594579,155,86,69,312.0394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andalucía","Almería","Antas",37.24516,-1.917543,3403,1724,1679,107.2613,202,123,73,1278,290,122,168,211,185,216,182,650,148,2,86,300,10,286,15
"Andalucía","Almería","Arboleas",37.35025,-2.074867,4527,2281,2246,288.0828,208,125,74,1292,297,129,168,213,192,222,188,758,179,2,87,330,12,301,18
"Andalucía","Almería","Armuña de Almanzora",37.34969,-2.411396,335,165,170,625.5285,214,122,73,1364,304,137,167,220,197,229,194,654,142,2,84,282,11,264,16
"Andalucía","Almería","Bacares",37.26083,-2.454761,280,148,132,1202.631,215,121,72,1391,305,138,167,224,197,230,194,642,131,2,81,272,13,270,18
"Andalucía","Almería","Bayárcal",37.03116,-2.996469,306,165,141,1271.166,187,112,69,1516,275,114,161,194,167,204,165,755,160,6,77,337,23,222,27
"Andalucía","Almería","Bayarque",37.33091,-2.43566,230,122,108,816.2208,215,121,72,1391,305,138,167,224,197,230,194,642,131,2,81,272,13,270,18
"Andalucía","Almería","Bédar",37.18964,-1.981898,1014,517,497,391.56,202,123,73,1278,290,122,168,211,185,216,182,650,148,2,86,300,10,286,15
"Andalucía","Almería","Beires",0.37012,-2.790928,126,64,62,919.2347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andalucía","Almería","Benahadux",36.92587,-2.455683,3940,1968,1972,113.9746,210,119,72,1356,298,133,165,217,192,224,189,592,131,1,81,274,8,191,11
"Andalucía","Almería","Benitagla",37.23124,-2.239107,88,51,37,945.0856,211,122,73,1307,299,133,166,225,194,225,191,610,126,1,82,252,9,252,14
"Andalucía","Almería","Benizalón",37.21175,-2.241685,286,145,141,933.7475,211,122,73,1307,299,133,166,225,194,225,191,610,126,1,82,252,9,252,14
"Andalucía","Almería","Bentarique",36.98652,-2.61942,272,150,122,319.8048,212,119,71,1408,302,136,166,219,194,227,191,605,140,2,81,289,11,190,15
"Andalucía","Almería","Berja",36.84644,-2.949425,15035,7542,7493,340.7863,207,117,70,1488,298,133,165,213,187,223,185,643,162,5,83,328,19,185,25
"Andalucía","Almería","Canjáyar",37.00973,-2.739681,1506,768,738,607.9745,213,119,71,1464,304,138,166,220,194,229,191,643,153,4,81,314,16,188,22
"Andalucía","Almería","Cantoria",37.35259,-2.193626,4016,2057,1959,388.6553,213,123,73,1320,302,134,168,218,196,228,193,674,157,1,85,297,10,265,15
"Andalucía","Almería","Carboneras",36.99659,-1.895012,7964,4122,3842,6.721787,192,120,73,1257,278,114,164,201,176,206,173,482,120,2,83,238,10,220,14
"Andalucía","Almería","Castro de Filabres",37.18464,-2.439524,161,83,78,943.7071,214,121,72,1371,304,137,167,222,196,229,193,625,130,2,79,272,12,184,17
"Andalucía","Almería","Chercos",37.26633,-2.257897,295,148,147,789.6791,213,122,73,1345,302,135,167,218,195,228,192,636,136,1,82,270,10,258,15
"Andalucía","Almería","Chirivel",3.75956,-2.264839,1854,928,926,1039.713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andalucía","Almería","Cóbdar",37.26199,-2.210223,188,99,89,606.9962,211,122,73,1304,300,133,167,215,194,226,191,646,144,1,83,276,10,257,16
