occurrence_id,animal_id,Order,family,genus,species,Date,weekday,Hour,longitude,latitude,town_id,dataset_id,observer_id
1,98,Carnivora,Canidae,Vulpes,vulpes,2021-01-02 00:00:00,7,15,-6.4506,37.8443,431,1,1
2,98,Carnivora,Canidae,Vulpes,vulpes,2021-01-04 00:00:00,2,21,-8.0341,43.6901,6300,1,2
3,98,Carnivora,Canidae,Vulpes,vulpes,2021-06-03 00:00:00,5,14,1.6332,41.7935,5035,1,3
4,348,Carnivora,Viverridae,Genetta,genetta,2021-01-20 00:00:00,4,9,1.6331,41.7935,5035,1,3
5,98,Carnivora,Canidae,Vulpes,vulpes,2021-01-13 00:00:00,4,11,-3.7498,40.7057,6881,1,4
6,98,Carnivora,Canidae,Vulpes,vulpes,2021-01-10 00:00:00,1,13,-5.9206,40.6411,3829,1,5
7,258,Carnivora,Mustelidae,Mustela,nivalis,2021-01-20 00:00:00,4,13,1.6331,41.7935,5035,1,3
8,119,Carnivora,Felidae,Felis,silvestris,2021-01-25 00:00:00,2,8,-3.5452,42.4117,3165,1,6
9,98,Carnivora,Canidae,Vulpes,vulpes,2021-02-10 00:00:00,4,16,-3.6074,40.3105,6942,1,7
10,98,Carnivora,Canidae,Vulpes,vulpes,2021-02-07 00:00:00,1,8,-1.9194,43.046,7218,1,8
11,240,Carnivora,Mustelidae,Meles,meles,2021-02-16 00:00:00,3,23,-0.8093,41.7475,1494,1,9
12,240,Carnivora,Mustelidae,Meles,meles,2021-03-25 00:00:00,5,7,-3.1597,40.6891,2449,1,10
13,240,Carnivora,Mustelidae,Meles,meles,2021-01-11 00:00:00,2,20,1.7907,41.5739,4973,1,11
14,174,Carnivora,Herpestidae,Herpestes,ichneumon,2021-02-03 00:00:00,4,10,-5.845,37.2211,767,1,12
15,234,Carnivora,Mustelidae,Martes,martes,2021-02-03 00:00:00,4,18,-8.1518,43.5225,6333,1,13
16,240,Carnivora,Mustelidae,Meles,meles,2021-02-04 00:00:00,5,15,-6.6251,43.5547,1578,1,14
17,98,Carnivora,Canidae,Vulpes,vulpes,2021-02-22 00:00:00,2,9,-3.5216,40.315,6998,1,15
18,174,Carnivora,Herpestidae,Herpestes,ichneumon,2021-02-21 00:00:00,1,16,-4.0292,40.2602,6928,1,16
19,240,Carnivora,Mustelidae,Meles,meles,2021-02-16 00:00:00,3,13,-3.5767,42.3391,3130,1,6
20,240,Carnivora,Mustelidae,Meles,meles,2021-02-25 00:00:00,5,8,-8.3564,43.2353,6278,1,17
21,98,Carnivora,Canidae,Vulpes,vulpes,2021-02-21 00:00:00,1,12,-5.7866,42.9364,3325,1,18
22,98,Carnivora,Canidae,Vulpes,vulpes,2021-02-28 00:00:00,1,21,-4.0236,40.3767,6972,1,19
23,98,Carnivora,Canidae,Vulpes,vulpes,2021-03-01 00:00:00,2,23,-0.8699,41.8441,1505,1,9
24,240,Carnivora,Mustelidae,Meles,meles,2021-02-26 00:00:00,6,16,1.636,41.5617,5251,1,20
25,98,Carnivora,Canidae,Vulpes,vulpes,2021-03-02 00:00:00,3,10,-3.6003,40.4164,6884,1,21
26,240,Carnivora,Mustelidae,Meles,meles,2021-02-24 00:00:00,4,22,-1.295,42.6862,7229,1,22
