animal_id,binomial,Order,family,genus,species,IUCN.Status,terrestrial,marine,freshwater,aerial,Life.Habit.Method,Mass.g,Mass.Method,Island.Endemicity,Diet.Plant,Diet.Vertebrate,Diet.Invertebrate,Diet.Method,Genus.1.1,Species.1.1,Genus.1.0,Species.1.0,EltonTraits.1.0.Genus,EltonTraits.1.0.Species,IUCN.2016.3.Genus,IUCN.2016.3.Species
1,Amblysomus_corriae,Afrosoricida,Chrysochloridae,Amblysomus,corriae,NT,t,f,f,f,Reported,52,Assumed isometric based on skull size,Occurs on mainland,0,0,100,Reported 000 Species,Amblysomus,corriae,Amblysomus,corriae,Amblysomus,corriae,Amblysomus,corriae
2,Amblysomus_hottentotus,Afrosoricida,Chrysochloridae,Amblysomus,hottentotus,LC,t,f,f,f,Reported,53,Reported,Occurs on mainland,0,0,100,Reported 000 Species,Amblysomus,hottentotus,Amblysomus,hottentotus,Amblysomus,hottentotus,Amblysomus,hottentotus
3,Amblysomus_marleyi,Afrosoricida,Chrysochloridae,Amblysomus,marleyi,EN,t,f,f,f,Reported,36,Assumed isometric based on skull size,Occurs on mainland,0,0,100,Reported 000 Species,Amblysomus,marleyi,Amblysomus,marleyi,Amblysomus,marleyi,Amblysomus,marleyi
4,Amblysomus_robustus,Afrosoricida,Chrysochloridae,Amblysomus,robustus,VU,t,f,f,f,Reported,51,Imputed,Occurs on mainland,0,0,100,Reported 000 Species,Amblysomus,robustus,Amblysomus,robustus,Amblysomus,robustus,Amblysomus,robustus
5,Amblysomus_septentrionalis,Afrosoricida,Chrysochloridae,Amblysomus,septentrionalis,NT,t,f,f,f,Reported,64,Assumed isometric based on skull size,Occurs on mainland,0,0,100,Reported 000 Species,Amblysomus,septentrionalis,Amblysomus,septentrionalis,Amblysomus,septentrionalis,Amblysomus,septentrionalis
6,Calcochloris_obtusirostris,Afrosoricida,Chrysochloridae,Calcochloris,obtusirostris,LC,t,f,f,f,Reported,24,Reported,Occurs on mainland,0,0,100,Reported 000 Species,Calcochloris,obtusirostris,Calcochloris,obtusirostris,Calcochloris,obtusirostris,Calcochloris,obtusirostris
7,Calcochloris_tytonis,Afrosoricida,Chrysochloridae,Calcochloris,tytonis,DD,t,f,f,f,Reported,46,Reported,Occurs on mainland,0,0,100,Reported 000 Species,Calcochloris,tytonis,Calcochloris,tytonis,Calcochloris,tytonis,Calcochloris,tytonis
8,Carpitalpa_arendsi,Afrosoricida,Chrysochloridae,Carpitalpa,arendsi,VU,t,f,f,f,Reported,52,Reported,Occurs on mainland,0,0,100,Reported 000 Species,Carpitalpa,arendsi,Carpitalpa,arendsi,Carpitalpa,arendsi,Carpitalpa,arendsi
9,Chlorotalpa_duthieae,Afrosoricida,Chrysochloridae,Chlorotalpa,duthieae,VU,t,f,f,f,Reported,46,Reported,Occurs on mainland,0,0,100,Reported 000 Species,Chlorotalpa,duthieae,Chlorotalpa,duthieae,Chlorotalpa,duthieae,Chlorotalpa,duthieae
10,Chlorotalpa_sclateri,Afrosoricida,Chrysochloridae,Chlorotalpa,sclateri,LC,t,f,f,f,Reported,39,Reported,Occurs on mainland,0,0,100,Reported 000 Species,Chlorotalpa,sclateri,Chlorotalpa,sclateri,Chlorotalpa,sclateri,Chlorotalpa,sclateri
11,Chrysochloris_asiatica,Afrosoricida,Chrysochloridae,Chrysochloris,asiatica,LC,t,f,f,f,Reported,49,Reported,Occurs on mainland,0,0,100,Reported 000 Species,Chrysochloris,asiatica,Chrysochloris,asiatica,Chrysochloris,asiatica,Chrysochloris,asiatica
